 Teaching Research Citations Industry_Income International_Outlook
"University of Florence" 37.9 25.1 65.8 42.3 good
"Northumbria University" 19.4 18.1 85.6 35.1 bad
"Jordan University of Science and Technology" 15.8 9.0 100.0 40.2 bad
"University of Perugia" 18.6 22.8 87.5 45.2 bad
"American University of Beirut" 28.7 14.9 77.1 36.7 good
"Australian Catholic University" 20.6 27.5 73.4 39.4 good
"Clark University" 24.0 22.7 79.3 34.4 good
"�rebro University" 17.6 21.1 88.7 36.0 bad
"Swinburne University of Technology" 24.5 28.9 66.5 41.0 good
"Catholic University of Portugal" 18.3 15.0 94.6 35.9 bad
"Justus Liebig University Giessen" 37.7 34.1 53.8 41.6 good
"RMIT University" 25.7 26.1 64.5 42.5 good
"University of Connecticut" 36.5 29.7 60.6 37.9 good
"Hanyang University" 39.1 40.0 40.1 92.3 good
"IMT Atlantique" 34.4 28.5 53.1 91.6 good
"University of Alaska Fairbanks" 27.5 25.0 72.5 43.8 good
"Indian Institute of Technology Indore" 32.5 23.7 77.1 39.9 good
"University of Naples Federico II" 35.4 23.4 71.9 38.2 good
"Hofstra University" 38.4 13.2 79.3 34.4 good
"Iowa State University" 29.5 33.0 60.5 49.6 good
"Universiti Brunei Darussalam" 23.0 19.3 74.4 34.8 good
"University of C�te d�Azur" 30.0 18.3 68.5 40.4 good
"University of Georgia" 34.9 35.8 55.8 37.2 good
"University of KwaZulu-Natal" 25.4 28.7 70.1 36.8 good
"University of the Philippines" 24.1 17.2 86.9 39.4 good
"University of Siena" 37.9 21.6 67.6 37.5 good
"Link�ping University" 22.7 23.6 75.4 48.1 good
"Qatar University" 19.6 27.2 64.7 49.3 bad
"University of Kansas" 36.9 22.6 68.3 43.5 good
"Royal Veterinary College" 27.2 18.3 69.1 43.5 good
"University of Turin" 22.6 27.3 75.3 45.4 good
"Cankaya University" 14.9 11.4 99.7 34.9 bad
"Technion Israel Institute of Technology" 32.4 31.5 56.8 36.5 good
"Tokyo Medical and Dental University (TMDU)" 45.2 24.2 58.1 63.1 good
"University of Innsbruck" 27.6 21.8 62.0 43.1 good
"University of Eastern Finland" 24.7 27.9 70.7 39.2 good
"University of Milan-Bicocca" 23.7 20.2 80.7 39.1 good
"York University" 28.2 37.6 50.7 45.4 good
"University of Missouri-St Louis" 30.0 24.7 70.3 40.4 good
"University of Nebraska-Lincoln" 30.1 28.0 63.2 38.6 good
"UiT The Arctic University of Norway" 21.5 18.0 80.0 36.0 good
"City, University of London" 26.1 27.8 57.7 35.5 good
"University of Peradeniya" 16.5 7.6 100.0 35.4 bad
"Harbin Institute of Technology" 39.5 36.8 44.0 99.3 good
"University of Missouri-Columbia" 34.9 24.2 65.7 35.5 good
"Norwegian University of Science and Technology" 26.2 28.3 64.3 38.5 good
"American University" 40.9 19.5 65.7 39.1 good
"Georgia State University" 33.9 27.2 62.9 35.4 good
"Sabanc? University" 27.8 35.3 55.8 65.4 good
"Aberystwyth University" 24.8 22.9 66.3 39.7 good
"University of Alabama" 26.9 22.4 77.4 35.3 good
"University of Bordeaux" 30.0 22.7 66.8 36.4 good
"Drexel University" 35.8 20.4 64.7 41.5 good
"Pontifical Javeriana University" 15.3 8.9 98.6 34.8 bad
"University of Strathclyde" 28.3 31.6 51.9 43.6 good
"Centrale Nantes" 30.4 29.6 48.6 83.2 good
"University of St Gallen" 30.6 19.6 59.0 43.4 good
"University of Desarrollo" 13.5 8.8 99.1 36.8 bad
"Rensselaer Polytechnic Institute" 30.0 28.7 58.9 67.0 good
"University of South Carolina-Columbia" 33.2 25.5 63.7 36.2 good
"Diego Portales University" 14.7 10.5 95.3 34.4 bad
"Indian Institute of Technology Delhi" 48.5 27.9 49.0 73.9 good
"Middlesex University" 19.4 17.3 74.2 34.6 bad
"Tongji University" 35.5 43.6 34.6 98.2 good
"Hong Kong Baptist University" 27.9 22.0 58.1 38.4 good
"Sciences Po" 29.8 27.0 56.8 38.2 good
"University of Urbino Carlo Bo" 17.1 14.6 88.4 37.4 bad
"Central South University" 32.0 33.9 56.0 84.1 good
"University of Cyprus" 24.0 24.6 62.3 47.7 good
"Quaid-i-azam University" 20.5 18.6 81.5 34.4 good
"University of Victoria" 23.6 15.9 70.1 44.9 good
"Aswan University" 11.9 8.7 100.0 34.4 bad
"University of Modena and Reggio Emilia" 32.1 19.7 69.3 43.5 good
"University of Trieste" 30.1 22.7 66.9 37.7 good
"Liverpool John Moores University" 17.7 17.5 78.2 34.9 bad
"Polytechnic University of Bari" 17.3 22.1 84.1 37.1 bad
"Semmelweis University" 26.2 12.3 74.0 36.2 good
"Federal University of Toulouse Midi-Pyr�n�es" 28.5 25.9 60.6 37.0 good
"University of Porto" 27.4 27.9 62.1 38.7 good
"University of Saskatchewan" 35.9 26.9 48.1 59.2 good
"Free University of Bozen-Bolzano" 20.6 13.1 77.9 35.4 good
"University of Genoa" 32.1 23.1 63.8 42.9 good
"Kyushu University" 44.2 39.2 34.3 75.3 good
"Sejong University" 23.4 20.8 75.4 40.0 good
"SOAS University of London" 41.9 37.7 31.2 34.4 good
"University of Strasbourg" 28.7 21.1 62.3 37.7 good
"Fujita Health University" 24.5 9.7 91.1 36.8 good
"Bangor University" 22.4 20.7 66.3 35.7 good
"�cole des Mines de Saint-�tienne" 35.5 11.7 64.3 47.8 good
